-16.97	3
40.44	2
9.85	1
-15.02	2
-4.72	5
-217.22	2
16.33	5
2.56	2
0.35	4
-27.95	3
63.42	1
-93.17	3
10.32	4
-17.7	1
6.06	4
-4.84	1
-7.55	4
20.91	2
7.66	4
-64.27	5
-13.05	5
-26.89	5
-32.29	4
62.04	5
49.18	3
37	3
31.26	2
11.26	3
-36.73	2
-4.17	3
-31.05	1
-33.2	5
6.41	1
16.19	2
-0.52	3
29.35	1
47.59	5
-42.65	2
66.98	5
9.46	2
-6	3
-4.96	1
23.21	5
-108.01	2
54.97	5
-22.51	3
-0.7	5
-14.76	5
-63.31	5
-6.24	4
10.68	4
-36.49	3
-2.79	4
3.18	1
-1.86	1
7.64	3
8.51	5
-7.3	4
2.06	2
-20.03	1
31.5	1
0.16	4
-6.97	5
42.07	2
15.69	3
-32.2	3
-160	2
-31.9	2
-9.88	4
33.31	5
82.83	4
14.61	4
-13.94	1
-5.46	5
36.43	1
99.53	5
-11.62	3
-27.19	1
53.28	3
38.03	1
9.69	4
8.74	4
-78.02	3
5.36	3
4.05	4
83.71	2
14.4	2
43.99	2
86.66	2
28.48	1
-44.95	2
-7.77	3
-116.59	3
-46.07	2
-0.56	1
-91.58	1
-12.91	3
-18.28	5
5.91	4
3.93	4
9.46	1
-3.76	4
69.9	3
-3.52	5
7.85	4
-8.29	5
-2.45	4
11.62	3
118.29	2
48.37	1
-10.82	3
-4.38	2
18.07	1
4.25	5
1.48	4
277.29	2
-0.37	2
55.73	2
-25.28	2
9.87	5
-12.94	4
4.63	4
-10.27	3
6.61	2
-87.49	2
-4.76	2
71.08	1
1.6	4
4.48	4
1.77	4
79.79	3
2.15	4
80.56	3
18.93	4
5.99	4
11.09	1
6.33	1
-14.12	4
-192.48	2
31.18	5
-23.32	3
-4.69	2
-13.09	1
25.21	5
4.83	5
-21.67	4
14.63	3
-0.33	4
-2.86	1
-5.05	3
-14.5	3
-98.72	3
11.64	2
-19.8	2
-13.72	5
8.75	4
96.48	3
-14.09	2
42.33	1
-37.13	3
-44.22	2
60.16	1
5.8	3
1.07	2
32.27	1
16.63	4
-10.72	3
22.13	1
9.75	3
14.69	3
-1.9	3
6.26	5
-2.82	4
13.87	4
16.71	5
26.45	1
-25.18	5
-5.03	3
-17.96	4
5.77	4
13.12	4
-26.57	5
4.61	4
34.66	3
-55.5	3
34.65	2
123.76	2
-44.19	5
58.51	1
-37.61	3
49.15	3
27.32	3
-52.36	1
27.94	1
6.96	1
-44.38	1
-9.71	5
-74.28	5
95.3	2
24.98	5
-15.25	1
142.29	2
14.42	1
19.62	4
32.69	1
-6.85	1
-24.16	3
141.53	2
-23.09	5
14.65	5
4.82	5
-96.73	3
-5.32	5
5.51	1
11.78	4
16	3
4.94	3
-89.59	2
5.63	1
-42.54	5
15.01	2
7.78	1
-2.35	4
-14.36	3
88.29	5
1.84	4
-7.78	1
-2.34	5
-10.22	4
12.02	1
-77.51	3
7.26	4
127.28	2
5.47	5
21.74	3
10.58	4
-8.73	4
-5.1	5
86.1	1
56.25	1
-54.99	2
-48.21	1
-21.36	5
44.48	1
7.03	2
-173.88	3
4.91	4
-7.35	4
-2.37	4
-59.83	2
-52.81	5
8.87	4
-66.13	1
-369.07	2
2.91	4
-5.08	4
13.64	5
-15.44	1
66.59	2
-3.47	2
-8.98	1
-4.64	4
15.6	5
-0.97	1
-10.9	3
-0.16	3
-13.93	3
-16.98	3
36.48	5
-73.5	1
5.52	3
-25.13	3
-44.65	1
-6.97	4
2.14	4
-13.13	4
-15.31	3
-70.05	1
-57.05	3
-129.69	2
-44.68	1
11.4	1
10.58	4
10.96	4
-0.53	5
20.15	5
-2.14	5
4.85	3
45.43	1
50.94	3
-4.89	2
99.06	3
-17.25	3
23.34	5
-139.15	3
21.92	4
-156.62	2
5.98	4
-13.83	4
9.24	1
1.17	2
158.35	2
-12.89	3
6.85	4
-40.34	1
-19.96	2
-2.54	3
46.47	3
-5.92	3
318.28	5
4.43	5
-27.95	1
5.82	4
-38.4	1
5.64	1
19.1	1
-25.83	3
-14.14	1
5.91	5
62.68	5
13	4
46.86	3
5.8	4
-11.09	4
-0.15	5
5.49	4
18.65	5
0.69	1
2.38	5
36.94	5
88.65	2
-41.18	2
-11.56	3
-77.27	5
-0.65	2
-88.65	1
-129.82	5
-141.49	3
-5.5	4
11.58	1
-39.75	2
28.31	1
-38.65	5
-14.16	4
-32.14	5
2.88	3
-93.97	2
-4.32	2
6.79	4
1.62	3
-12.52	3
13.48	4
17.86	3
70.75	2
5.22	4
125.7	2
8.24	4
-11.05	4
22.14	4
5.8	3
5.81	4
2.82	5
-10.81	4
